"""","総 数","本 店","支 店","営業所"
"平成 2年(1990年) 3月末","27.0","2.0","24.0","1.0"
"平成 7年(1995年) 3月末","28.0","2.0","24.0","2.0"
"平成12年(2000年) 3月末","22.0","1.0","19.0","2.0"
"平成17年(2005年)11月末","21.0","1.0","19.0","1.0"
"","","","",""
"平成20年(2008年)11月末","22.0","1.0","19.0","2.0"
"平成21年(2009年)11月末","22.0","1.0","19.0","2.0"
"平成22年(2010年)11月末","21.0","-","21.0","-"
"","","","",""
"平成23年(2011年)11月末","21.0","-","21.0","-"
"平成24年(2012年)11月末","21.0","-","21.0","-"
"平成25年(2013年)11月末","21.0","-","21.0","-"
"平成26年(2014年)11月末","21.0","-","21.0","-"
